"sales__|","sales__|__datetime","sales__|__burger","sales__|__species","burger_sales__Krusty Combo","burger_sales__Krusty Deluxe","burger_sales__Krabby Pattie","species_sales__leatherback turtle","species_sales__salmon","species_sales__seahorse","species_sales__coral","species_sales__giant clam","species_sales__gray whale","species_sales__sea lion","burger_by_species__|","burger_by_species__|__leatherback turtle","burger_by_species__|__salmon","burger_by_species__|__seahorse","burger_by_species__|__coral","burger_by_species__|__giant clam","burger_by_species__|__gray whale","burger_by_species__|__sea lion"
"A0jGhtOSJ3","2019-04-05 14:12:25","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"4p3YcH5gu2","2019-04-05 14:14:09","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"JU9V2jb0ry","2019-04-05 14:16:29","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"od29b8ES36","2019-04-05 14:19:13","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"SHjfueXin1","2019-04-05 14:21:00","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"UNroINyPkG","2019-04-05 14:24:30","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"7S333r5aTk","2019-04-05 14:26:20","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"CaMPJlXAj3","2019-04-05 14:28:26","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"qELXCZEtcg","2019-04-05 14:29:59","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"C41MsMV4fP","2019-04-05 14:31:20","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"n5VR6ejtEg","2019-04-05 14:33:04","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"n2Hob7bODg","2019-04-05 14:35:17","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"yOTt2G7v5B","2019-04-05 14:36:51","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"53sjHkj9lh","2019-04-05 14:38:46","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"AKQldTRbxn","2019-04-05 14:40:22","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"RNv89JwOGG","2019-04-05 14:41:48","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"9P1Wm4ukUV","2019-04-05 14:43:57","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"c7ymxqJCkQ","2019-04-05 14:45:37","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"daj3xcZxSD","2019-04-05 14:47:37","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"CyFepJMsl9","2019-04-05 14:48:41","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"VOVtwxC4Iz","2019-04-05 14:51:33","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Ged4MmCEKa","2019-04-05 14:53:40","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"Umh6bXR18Y","2019-04-05 14:56:13","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"I8LIivX5LO","2019-04-05 14:57:52","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"fi3IZVoTti","2019-04-05 14:59:07","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"biXM1DEFvU","2019-04-05 15:02:32","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"QkHIvdakfZ","2019-04-05 15:03:59","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"PHRYv2UXBO","2019-04-05 15:05:29","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"aqN3hYaIOY","2019-04-05 15:06:44","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"szJApJ0f4F","2019-04-05 15:07:55","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"0q6kttc862","2019-04-05 15:10:20","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"jyNQ8Z0SrM","2019-04-05 15:11:22","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"pcgz1KkXwC","2019-04-05 15:12:46","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"pjSo8cjhvl","2019-04-05 15:14:11","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"uw4UTJhwNB","2019-04-05 15:16:26","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"NvVKpUUKsP","2019-04-05 15:18:15","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"argIOYCuRH","2019-04-05 15:19:20","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"GLW9NkwC23","2019-04-05 15:21:51","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"qWSX7lRCwF","2019-04-05 15:24:21","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"9EgfBnRRwC","2019-04-05 15:26:21","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"wZ88d4NbGt","2019-04-05 15:27:26","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"ab2XM4o2VK","2019-04-05 15:28:58","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"W0gKvY3znj","2019-04-05 15:30:55","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"MaeTmrAsPH","2019-04-05 15:33:09","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"r5Iab1Ivdx","2019-04-05 15:35:06","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"PDV1Zx7LVV","2019-04-05 15:36:44","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"LHTX18BDJy","2019-04-05 15:37:45","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"8lIt4FOBdW","2019-04-05 15:40:20","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"iNi0z6MUvc","2019-04-05 15:41:37","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"5i7KmCoG4u","2019-04-05 15:42:56","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"4Iyb3yK7th","2019-04-05 15:45:27","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"EblN6ffsPw","2019-04-05 15:46:36","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"WwXlGU3OMx","2019-04-05 15:48:21","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"1CiTan8kV8","2019-04-05 15:49:46","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"WLa86SqjrN","2019-04-05 15:51:50","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"A1BX2SQdTh","2019-04-05 15:54:09","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"xINDqELqwe","2019-04-05 15:57:12","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"QYKkwB0mjg","2019-04-05 15:58:24","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"pM2g3UlD72","2019-04-05 16:00:00","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"gwXlpCEmpq","2019-04-05 16:01:18","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"ahC09NADRF","2019-04-05 16:02:21","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"wowvhsZpoh","2019-04-05 16:04:15","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"ttv1vLtBtp","2019-04-05 16:06:00","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"35OmxhmoGq","2019-04-05 16:08:11","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"FpmYIDbciL","2019-04-05 16:09:25","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"uFYDDiR7Sl","2019-04-05 16:11:06","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"xdl1dvjrfS","2019-04-05 16:12:17","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"5HaM0xGe7h","2019-04-05 16:13:30","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"1vRAShL463","2019-04-05 16:15:05","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"FruBf2ISH0","2019-04-05 16:16:18","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"hr9RN197Qt","2019-04-05 16:18:08","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"wfGwQtiPOU","2019-04-05 16:20:24","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"8u287tjSBA","2019-04-05 16:22:58","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"Wwfj5o10HC","2019-04-05 16:25:13","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"lApp72XcbZ","2019-04-05 16:27:50","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"7HRtsvJVm7","2019-04-05 16:28:58","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"bJ82Fxr2Pv","2019-04-05 16:31:37","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"fhq769oEzi","2019-04-05 16:32:47","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"JOKCfWbDSC","2019-04-05 16:34:21","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"7qYVDtCIqq","2019-04-05 16:36:50","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"ltWXU530C9","2019-04-05 16:38:38","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"O6s3yRS6JS","2019-04-05 16:39:48","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"GzVZxt9S7Z","2019-04-05 16:42:18","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"Nk4VCgvLGh","2019-04-05 16:43:38","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"IaYt7K4L2C","2019-04-05 16:45:18","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"vdLL83l95s","2019-04-05 16:47:06","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"ThOmWx4lIr","2019-04-05 16:49:31","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"sZLLNHT6Xd","2019-04-05 16:51:59","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"A9YqzHXEys","2019-04-05 16:53:20","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"m4a9OzRnaU","2019-04-05 16:54:24","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"tqRyxGtAD6","2019-04-05 16:56:09","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"lCGzTxIFud","2019-04-05 16:57:14","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"rGBPE2kgWs","2019-04-05 16:58:19","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"AV2KFB03is","2019-04-05 16:59:54","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"ZEKgIMXhfy","2019-04-05 17:01:09","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"G4tO9nOZFk","2019-04-05 17:02:22","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"U6yJiQfMPn","2019-04-05 17:05:43","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"Hq2stMtxZk","2019-04-05 17:06:58","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"YNUbNwklH2","2019-04-05 17:08:13","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"y435JNc6Ca","2019-04-05 17:09:30","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"hMHC4Fsj3s","2019-04-05 17:10:32","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"s7DQdonl1h","2019-04-05 17:11:59","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"F12hYbT660","2019-04-05 17:13:02","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"fgY23n8apg","2019-04-05 17:15:01","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"xPUhzp27Gq","2019-04-05 17:16:58","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"1Wa7FNVCZA","2019-04-05 17:18:25","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"rniu6T49da","2019-04-05 17:19:34","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"hoConxoLXq","2019-04-05 17:20:50","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"GoDjUv2Bw9","2019-04-05 17:22:12","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"4QV49IDjSW","2019-04-05 17:23:15","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"PMXuEthc3d","2019-04-05 17:25:09","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"s6eTDp5uDb","2019-04-05 17:27:41","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"nP6DejeA53","2019-04-05 17:29:23","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"6rigK5SVRv","2019-04-05 17:30:29","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"HxnoEBdpXC","2019-04-05 17:31:37","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"HgOyrE68C5","2019-04-05 17:32:50","Krusty Combo","giant clam","","","","","","","","","","","","","","","","","",""
"kKyLhqbWng","2019-04-05 17:34:31","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"uLqCQS09m6","2019-04-05 17:36:02","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"4pwpZjGYFA","2019-04-05 17:38:40","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"SDH5JbYDJd","2019-04-05 17:40:56","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"LKj761rVmE","2019-04-05 17:42:24","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"o3VOR5j3P2","2019-04-05 17:44:58","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"mSMvEyRHiy","2019-04-05 17:46:13","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"FOiWYQk3lF","2019-04-05 17:48:57","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"APmAaCSxj9","2019-04-05 17:50:08","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"eI1BlEfXXI","2019-04-05 17:51:37","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"slaAs60gN6","2019-04-05 17:54:23","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"MZ5Z9leZSU","2019-04-05 17:56:04","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"vvEfno6daG","2019-04-05 17:57:17","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"qjPCgirawN","2019-04-05 17:59:11","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"16ppLXlhxp","2019-04-06 08:00:04","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"NNQYnMlYeR","2019-04-06 08:01:59","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"T4GLbykDxK","2019-04-06 08:03:16","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"DEVHDKEris","2019-04-06 08:05:34","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"kjEr65cw7Y","2019-04-06 08:09:24","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"BzhNfnqCro","2019-04-06 08:11:16","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"wD7RBD6Yit","2019-04-06 08:12:53","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"YZ8TyTEpaJ","2019-04-06 08:14:25","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"GsaSQg259k","2019-04-06 08:15:29","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"JBsqpwCOAZ","2019-04-06 08:16:54","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"L5TRCWDBbZ","2019-04-06 08:19:01","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"zAjVM2Fu7d","2019-04-06 08:21:11","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"Ne2Mp44EfQ","2019-04-06 08:22:35","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"05H1JxqiDN","2019-04-06 08:24:48","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"Uu1NqUnHLG","2019-04-06 08:27:00","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"BxfnikIQF7","2019-04-06 08:28:57","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"x72NX2QZ6m","2019-04-06 08:30:17","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"lkcOAE06Zh","2019-04-06 08:32:24","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"DvikWgXvqF","2019-04-06 08:34:45","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"fYQRShszBI","2019-04-06 08:36:37","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"R3gyQhP0yq","2019-04-06 08:37:50","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"smVl0kklHx","2019-04-06 08:39:58","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"kgt3MZNv5y","2019-04-06 08:42:42","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"i3YCCheFy8","2019-04-06 08:45:43","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"bVjJeoUS8B","2019-04-06 08:48:26","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"OL85ls17wJ","2019-04-06 08:51:02","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"t7Vx8Echpt","2019-04-06 08:52:37","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"xuZguL1MGF","2019-04-06 08:55:31","Krusty Combo","gray whale","","","","","","","","","","","","","","","","","",""
"mMuwMIZjRQ","2019-04-06 08:56:57","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"DEYafeW26o","2019-04-06 08:58:15","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"85CwR7qVPH","2019-04-06 09:00:10","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"utbIPzgXw4","2019-04-06 09:02:16","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"jqRq8hMULX","2019-04-06 09:03:23","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"kMbuTgkmOx","2019-04-06 09:05:20","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"qEQ9ChiDU5","2019-04-06 09:06:49","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"PFhKr2ChFi","2019-04-06 09:08:47","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"f9OidHQk9T","2019-04-06 09:10:17","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"FWlVDjQfLg","2019-04-06 09:11:33","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"WwwIFhWEIF","2019-04-06 09:13:18","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"2yWvp7h4kM","2019-04-06 09:14:23","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"MG9Vz114gO","2019-04-06 09:16:54","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"3FXIrGPNid","2019-04-06 09:18:55","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"RkmHLbqoL9","2019-04-06 09:20:43","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"PD45m9KT88","2019-04-06 09:24:02","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"BMF4VLTvZK","2019-04-06 09:25:03","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"3YcFvI1NkS","2019-04-06 09:26:11","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"81Y5hfUMJO","2019-04-06 09:29:27","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"7rSIRG66Vc","2019-04-06 09:31:16","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"wuOzVFjpIs","2019-04-06 09:32:55","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"pZzpKxn3yL","2019-04-06 09:34:19","Krabby Pattie","coral","","","","","","","","","","","","","","","","","",""
"blNTISTQI3","2019-04-06 09:35:29","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"jP82suffgc","2019-04-06 09:36:42","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"cjR9lPKgbO","2019-04-06 09:37:47","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"2zkTMK6k6e","2019-04-06 09:39:14","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"nWQh5Z6HDt","2019-04-06 09:40:53","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"1zETkXc79Z","2019-04-06 09:42:00","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"NP7nQyi6xO","2019-04-06 09:45:14","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"XeUpCHbKHo","2019-04-06 09:47:19","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"QkNg8Cly29","2019-04-06 09:49:37","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"vtWVj7cqXN","2019-04-06 09:50:56","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"JO8bNtfVRy","2019-04-06 09:52:36","Krabby Pattie","gray whale","","","","","","","","","","","","","","","","","",""
"5CIMhzT6Ce","2019-04-06 09:54:51","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"zQWTyhCNv8","2019-04-06 09:56:26","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"iCEUWLG4DO","2019-04-06 09:59:13","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"892mEPC3cm","2019-04-06 10:00:39","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"VPbvqURkpr","2019-04-06 10:02:25","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"mf5esShnOV","2019-04-06 10:05:06","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
"kW9489TjjD","2019-04-06 10:06:34","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"BpUeGneo4X","2019-04-06 10:08:12","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"LCEDhwWTJF","2019-04-06 10:09:54","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"8tJ4ia73HR","2019-04-06 10:11:43","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"fUadH5sJrX","2019-04-06 10:13:10","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
